aspect,phrase,polarity,review
George Miller,screwed what could have been a good movie.,negative,George Miller screwed what could have been a good movie.
Ridley Scott/Prometheus,to see familiar face of C.Theron from her commercials,neutral,Good to see familiar face of C.Theron from her commercials and Ridley Scott/Prometheus movie.
Mad Max,This film truly captured the spirit,positive,This film truly captured the spirit of the first Mad Max to me.
look,brain candy,neutral,"Go see if if you want something stunning to look at, but if you need some brain candy I'd maybe give it a miss.."
Miller,like an F1 driver,neutral,On the plus side Miller steps on the throttle like an F1 driver who has nothing to lose and gives the viewer a ride into the chaotic.
Nolan's,Nolan's characterization of characters still have flaws,negative,")9/10,the reason why deduct a star is that there are some details I didn't comletely understand(I think I must see it for the second time) and Nolan's characterization of characters still have flaws."
costumes,punk and cyberpunk taste,neutral,"The film unleashes a devastating force and arrogance in all its directorial and scenographic choices starting from the punk and cyberpunk taste of the costumes, to arrive at the meticulous quality of the never banal chase scenes and furious fights aboard whimsical and eccentric cars."
chase scenes,never banal,positive,"The film unleashes a devastating force and arrogance in all its directorial and scenographic choices starting from the punk and cyberpunk taste of the costumes, to arrive at the meticulous quality of the never banal chase scenes and furious fights aboard whimsical and eccentric cars."
Liam Neeson,his best performance of all times,positive,I think the performance of Liam Neeson is his best performance of all times.
Tenet,great cast and music,positive,Tenet is a visually stunning film with great cast and music that gives you goosebumps.
cast,great cast and music that gives you goosebumps,positive,Tenet is a visually stunning film with great cast and music that gives you goosebumps.
music,gives you goosebumps,positive,Tenet is a visually stunning film with great cast and music that gives you goosebumps.
George Miller,you are a genius,positive,"George Miller, you are a genius."
soundtrack,A lot of dialogue is drowned in soundtrack,negative,A lot of dialogue is drowned in soundtrack and Foley.
Foley,soundtrack,neutral,A lot of dialogue is drowned in soundtrack and Foley.
Spielberg's,mixed reactions,neutral,Spielberg's decision to do black and white movie caused mixed reactions.
George Miller's,rich with detail and a near obsessive level of perfection,positive,Every frame of George Miller's post-apocalyptic epic is rich with detail and a near obsessive level of perfection.
Tom hardy,no words,neutral,I found myself half way through the movie with no words spoken from Tom hardy.
Oskar Schindler,"giving us every detail of how he saved 1,100 Jews from their dead",neutral,"The movie is truly dedicated to tell the true story of Oskar Schindler, giving us every detail of how he saved 1,100 Jews from their dead (this is not a spoiling this is what history says)Using Liam Neeson for rolling Schindler's paper, Spielberg makes his most exciting, beautiful work full of pain, heartbreaking scenes a terrible but astonishing script."
Liam Neeson,rolling Schindler's paper,neutral,"The movie is truly dedicated to tell the true story of Oskar Schindler, giving us every detail of how he saved 1,100 Jews from their dead (this is not a spoiling this is what history says)Using Liam Neeson for rolling Schindler's paper, Spielberg makes his most exciting, beautiful work full of pain, heartbreaking scenes a terrible but astonishing script."
Spielberg,Using Liam Neeson for rolling Schindler's paper,neutral,"The movie is truly dedicated to tell the true story of Oskar Schindler, giving us every detail of how he saved 1,100 Jews from their dead (this is not a spoiling this is what history says)Using Liam Neeson for rolling Schindler's paper, Spielberg makes his most exciting, beautiful work full of pain, heartbreaking scenes a terrible but astonishing script."
visual effects,great,positive,"The only really good thing about this movie was the visual effects , which where great."
Max,self-sufficient survivalist and main character,neutral,"As a fan of the timeless trilogy, this should not have been remade, especially if they were going to ""rework"" the character of Max who was a self-sufficient survivalist and main character."
video delivery,a waste of time,negative,I get a MUCH better picture on my home TV. This video delivery is a waste of time.
dialogue,hard to understand in bits,negative,"Some the dialogue was hard to understand in bits (no, not when they talk backwards ;))."
storytelling,"quickly drawn, characters and some of the most economical",positive,"It's a nonstop thrill-ride with interesting, though quickly drawn, characters and some of the most economical storytelling I've ever seen."
pianist,masterpiece just like the pianist,positive,a masterpiece just like the pianist.
movie,could've been shorter,negative,the movie could've been shorter though.
action,wonderful,positive,"Thirdly, the action is wonderful, it was very difficult to make it because they almost used only real action (without computer technology)."
action,wonderful,positive,"Thirdly, the action is wonderful, it was very difficult to make it because they almost used only real action (without computer technology)."
without computer technology,real action,neutral,"Thirdly, the action is wonderful, it was very difficult to make it because they almost used only real action (without computer technology)."
